Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1557411180,6013.21,6017.13,6011.53,6013.08,0.42781884,2573.9029117,6016.3383916
1557411240,6013.08,6017.99,6013.08,6013.08,0.27846552,1675.7879847000002,6017.937103
1557411300,6011.53,6016.36,6011.53,6013.08,1.67387794,10063.637304,6012.1691457
1557411360,6011.53,6013.08,6011.53,6013.08,1.4331083999999998,8616.7723579,6012.6452108
1557411420,6013.08,6013.08,6011.28,6011.28,0.25216919,1515.8855858,6011.3830156
1557411480,6013.08,6015.53,6012.5,6015.35,0.0550918,331.39351005,6015.2964698
1557411540,6012.5,6012.5,6009.79,6011.43,1.28747861,7739.677831800001,6011.5001303
1557411600,6011.43,6011.43,6009.75,6011.43,3.81617046,22936.466018,6010.3358217
1557411660,6011.38,6011.43,6011.38,6011.38,3.72385303,22385.681669999998,6011.4299597
1557411720,6011.38,6011.43,6009.75,6011.43,4.15698689,24984.649311,6010.278591800001
1557411780,6009.79,6015.04,6009.79,6015.04,4.28017115,25730.857245,6011.642138499999
1557411840,6016.81,6016.81,6014.25,6014.25,0.05575925,335.44319939999997,6015.9202177
1557411900,6014.25,6016.42,6014.05,6014.05,4.35796032,26216.847211,6015.8526663
1557411960,6014.25,6016.09,6013.62,6014.86,1.93558135,11642.736828000001,6015.1110819
1557412020,6015.36,6015.36,6009.57,6009.75,3.2880333,19766.140485,6011.5390209
1557412080,6012.44,6012.44,6009.74,6009.74,1.98924845,11956.960264,6010.7928018
1557412140,6009.74,6011.05,6009.74,6009.74,1.41357811,8495.2657539,6009.7604043
1557412200,6009.74,6011.05,6007.93,6007.93,4.33490027,26055.530713,6010.6413274999995
1557412260,6008.74,6009.84,6006.85,6009.84,0.2615169,1571.4032884,6008.802063800001
1557412320,6009.84,6010.59,6009.41,6009.81,3.09316306,18589.1869,6009.7662294
1557412380,6009.41,6010.74,6008.34,6008.34,0.30773643,1849.0713061000001,6008.620123899999
1557412440,6010.01,6010.01,6005.89,6008.3,1.90496124,11444.678541,6007.8275088
1557412500,6005.89,6007.89,6005.89,6007.89,1.61854155,9723.9800683,6007.8655802
1557412560,6007.13,6007.89,6007.12,6007.8,0.22783092,1368.7513787,6007.750742
1557412620,6007.35,6007.35,6004.89,6004.89,15.24938298,91573.45629500001,6005.059772899999
1557412680,6004.89,6005.32,6000.0,6000.0,5.01867728,30130.784561,6003.7302420000005
1557412740,6000.0,6000.31,5998.92,6000.0,16.25651695,97535.26489600001,5999.7639836
1557412800,6000.2,6000.6,5994.19,5998.7,110.79111123,664684.7846,5999.441446399999
1557412860,5997.59,5997.6,5994.19,5994.19,14.06870873,84341.80722100001,5994.9927772
1557412920,5994.19,5997.5,5994.19,5997.5,11.04690911,66218.79940599999,5994.3282548
1557412980,5995.86,5996.14,5994.65,5996.11,2.31652066,13889.759415,5995.9574956999995
1557413040,5996.15,5996.15,5986.49,5990.99,16.30004619,97630.430238,5989.5799742
1557413100,5990.99,5993.58,5990.04,5993.39,3.00566009,18008.382303,5991.4899767
1557413160,5993.39,5996.49,5992.86,5995.56,22.65100536,135771.63968,5994.0668205
1557413220,5996.5,6001.4,5996.5,5999.4,21.08978439,126497.66365,5998.053906800001
1557413280,5999.4,6000.11,5996.53,5996.53,2.62893518,15765.125068000001,5996.772072600001
1557413340,5997.2,5997.2,5992.8,5994.16,15.09557822,90497.846199,5994.9903793
1557413400,5994.35,5997.52,5993.92,5995.58,7.41480298,44448.56984,5994.5719340000005
1557413460,5997.53,5997.53,5995.28,5995.36,4.9815334,29866.702929000003,5995.4838261
1557413520,5993.74,5995.36,5993.1,5993.2,5.66732242,33968.715402,5993.7855807
1557413580,5993.2,5993.3,5993.17,5993.3,22.42019995,134368.43598,5993.1863357
1557413640,5993.3,5995.36,5993.3,5993.77,0.0906687,543.49791138,5994.327826199999
1557413700,5994.7,5995.36,5994.7,5995.34,7.20928811,43220.510872000006,5995.1149424
1557413760,5995.36,5995.36,5995.0,5995.36,1.01094434,6060.7943429,5995.181043199999
1557413820,5995.34,5997.79,5995.0,5995.0,6.31134253,37838.941963,5995.3871595
1557413880,5996.51,5996.52,5991.9,5994.9,2.33803939,14016.087151,5994.803685
1557413940,5994.91,5999.3,5994.88,5999.3,13.28110496,79620.601079,5995.0283745
1557414000,5999.22,5999.22,5992.57,5994.94,0.47342523,2838.2275845,5995.0915258
1557414060,5994.77,5997.43,5993.42,5994.9,16.90734578,101363.90055,5995.258029899999
1557414120,5993.42,5994.9,5991.88,5994.9,1.97054602,11810.47083,5993.5016539
1557414180,5992.22,5994.2,5989.22,5994.2,5.13226603,30745.771158,5990.6814997
1557414240,5994.2,5994.2,5989.95,5989.95,0.35474313,2125.935588,5992.8872702
1557414300,5989.95,5994.1,5989.95,5994.1,1.57475257,9435.4373095,5991.6951331
